,source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,r_med_geo,l,b
0,2077749249017118727,214.83688642545022,-36.26226754536605,2.458837,0.050559077,-107.37664,0.028110847,-129.93091,0.025077302,164.07445,1.0,492.18523987337824,322.11482313232875,23.31332746984453
1,1748034239019876353,6.981683420190142,-30.074362670051354,24.90175,0.051202655,180.74727,0.028468676,-152.75304,0.025396517,-18.919193,3.6336868,39.977377075909615,1.8262859473933617,-84.05910186780854
2,1747757832373010434,4.734343202869225,-23.65612034256806,10.669034,0.05187266,196.67702,0.028841197,-244.18329,0.025728839,-46.196846,1.0,90.68942005794487,56.46168512584976,-81.88274041496732
3,1762540014320746499,351.73111537592814,-26.47226597840217,10.541063,0.054987166,239.63795,0.030572863,-299.9919,0.027273634,-99.3883,10.654472,90.68942005794487,30.094795353636343,-71.15188278117293
4,1819694926540046338,12.68575048363767,-24.442883762411114,16.305326,0.052203927,598.8998,0.029025383,117.65787,0.025893148,-102.35,2.0849824,62.414140475833264,119.55997432296,-87.31008043981878
5,1820141843925434369,9.829066540992608,-20.808279922875386,45.054462,0.051128957,-251.03114,0.028427701,-274.3483,0.025359964,11.642486,1.0,22.210611703497367,98.63908639961963,-83.10092143655284
6,1980497327428730883,9.541682196821128,-45.45188432080468,11.941196,0.05475512,198.15169,0.030443847,-165.35365,0.02715854,-55.94757,7.75647,83.3214314172832,310.277912938481,-71.48660306247632
7,1764769244215508995,351.0455749318016,-16.08819613337777,18.5416,0.051391743,226.18597,0.02857381,-349.34506,0.025490304,74.85859,2.8707857,52.560376973561944,57.08695921063838,-66.96446562363806
8,1759672140103155717,334.84093008755536,-23.728905517315546,12.270519,0.054049812,227.867,0.030051695,-253.54828,0.026808705,-97.34402,12.497449,83.3214314172832,29.959292089805256,-55.62503023152898
9,1733955585331691524,318.0426882585491,-40.72959267145907,16.60896,0.05278405,314.2477,0.029347932,-286.98312,0.02618089,91.00373,1.8291906,58.72231715522967,1.2932299420818714,-43.324300062853986
10,1749899569354768385,352.9461714251467,-34.57000636935612,38.304806,0.051357914,391.62317,0.028555,297.34363,0.025473526,-3.2240841,1.0,26.295780451954094,4.480721778386089,-71.3983963483281
